number,value,datetime_start,datetime_complete,duration,params_base_model,params_batch_size,params_l2_reg,params_learning_rate,params_optimizer_str,state
0,0.11496136849746108,2024-11-30 17:54:15.616313,2024-11-30 18:07:56.180170,0 days 00:13:40.563857,t5-base,32,1.6535756755387857e-06,9.87664274618115e-07,Adam,COMPLETE
1,0.09769438845770699,2024-11-30 18:07:56.180641,2024-11-30 18:12:46.952142,0 days 00:04:50.771501,t5-small,16,5.0978411433990655e-08,0.0005072287773277067,SGD,COMPLETE
2,0.2644641354443535,2024-11-30 18:12:46.952489,2024-11-30 18:27:48.309441,0 days 00:15:01.356952,t5-base,16,4.715456639248768e-15,2.8588190168286396e-05,SGD,COMPLETE
3,0.17496775692701338,2024-11-30 18:27:48.309715,2024-11-30 18:48:46.422157,0 days 00:20:58.112442,t5-base,8,6.2331737302960545e-12,2.7220809728837396e-07,Adam,COMPLETE
4,0.31346204318106174,2024-11-30 18:48:46.422438,2024-11-30 18:53:16.994095,0 days 00:04:30.571657,t5-small,32,3.736070844554331e-14,7.22650454649424e-07,AdamW,COMPLETE
5,0.08802775270305574,2024-11-30 18:53:16.994346,2024-11-30 19:06:57.937387,0 days 00:13:40.943041,t5-base,32,1.2237389809345655e-10,1.3042917880169087e-06,Adam,COMPLETE
6,0.3208454344272614,2024-11-30 19:06:57.937704,2024-11-30 19:14:16.374912,0 days 00:07:18.437208,t5-small,8,7.2223009266137546e-09,1.9816986018728637e-07,AdamW,COMPLETE
7,9.39307636642456,2024-11-30 19:14:16.375195,2024-11-30 19:21:34.718179,0 days 00:07:18.342984,t5-small,8,1.1133921448457829e-12,1.4305348212745927e-08,AdamW,COMPLETE
8,0.046804362088441846,2024-11-30 19:21:34.718451,2024-11-30 19:42:34.169916,0 days 00:20:59.451465,t5-base,8,1.378406112111046e-13,5.901005759560242e-06,Adam,COMPLETE
9,0.05863190034870058,2024-11-30 19:42:34.170217,2024-11-30 19:47:04.920719,0 days 00:04:30.750502,t5-small,32,1.384268530244444e-13,0.0003956189613503916,Adam,COMPLETE
10,0.04608526563644409,2024-11-30 19:47:04.921034,2024-11-30 20:08:04.138508,0 days 00:20:59.217474,t5-base,8,2.2252298835135822e-05,1.885749717347404e-05,Adam,COMPLETE
11,0.046750331588089465,2024-11-30 20:08:04.138907,2024-11-30 20:29:02.385172,0 days 00:20:58.246265,t5-base,8,4.766676858344945e-05,2.543755744132678e-05,Adam,COMPLETE
12,0.048319749176502225,2024-11-30 20:29:02.385463,2024-11-30 20:49:59.880714,0 days 00:20:57.495251,t5-base,8,8.147491734794188e-05,3.612703030986599e-05,Adam,COMPLETE
13,0.04839792314916849,2024-11-30 20:49:59.881010,2024-11-30 21:10:57.553540,0 days 00:20:57.672530,t5-base,8,9.184184372993247e-05,4.97730022005588e-05,Adam,COMPLETE
14,0.04677768889069557,2024-11-30 21:10:57.553864,2024-11-30 21:31:55.784757,0 days 00:20:58.230893,t5-base,8,1.0009165180773873e-06,6.146509510065904e-06,Adam,COMPLETE
15,0.08326226310431957,2024-11-30 21:31:55.785093,2024-11-30 21:50:28.218447,0 days 00:18:32.433354,t5-base,8,3.1505514960970227e-06,0.00014350155116464158,SGD,COMPLETE
16,0.04565217150818734,2024-11-30 21:50:28.218737,2024-11-30 22:06:39.265798,0 days 00:16:11.047061,t5-base,16,7.894357000889556e-09,1.4649061084283383e-05,Adam,COMPLETE
17,0.04839777597595775,2024-11-30 22:06:39.266194,2024-11-30 22:22:49.491030,0 days 00:16:10.224836,t5-base,16,3.9332416125101196e-09,7.66824159292116e-06,Adam,COMPLETE
18,0.04334015201126772,2024-11-30 22:22:49.491396,2024-11-30 22:38:53.904172,0 days 00:16:04.412776,t5-base,16,1.2740696841640126e-10,0.00018917665361992863,AdamW,COMPLETE
19,0.04895797779872304,2024-11-30 22:38:53.904712,2024-11-30 22:54:56.948955,0 days 00:16:03.044243,t5-base,16,9.344123731304194e-11,0.0009818435171941406,AdamW,COMPLETE
20,0.04443833051574609,2024-11-30 22:54:56.949276,2024-11-30 23:11:00.516353,0 days 00:16:03.567077,t5-base,16,1.9050232896482523e-09,0.00012961783231166707,AdamW,COMPLETE
21,0.04425393367215755,2024-11-30 23:11:00.516667,2024-11-30 23:27:03.937932,0 days 00:16:03.421265,t5-base,16,1.4002644173368222e-09,0.00012054317399430383,AdamW,COMPLETE
22,0.04365352275116103,2024-11-30 23:27:03.938259,2024-11-30 23:43:07.111177,0 days 00:16:03.172918,t5-base,16,1.2719656325688743e-11,0.00011542372741249426,AdamW,COMPLETE
23,0.043331218883395195,2024-11-30 23:43:07.111497,2024-11-30 23:59:12.063701,0 days 00:16:04.952204,t5-base,16,1.3316453853820814e-11,0.00012472313665626742,AdamW,COMPLETE
24,0.04424921018145387,2024-11-30 23:59:12.064246,2024-12-01 00:15:15.598722,0 days 00:16:03.534476,t5-base,16,8.376669838342366e-12,9.001949887047777e-05,AdamW,COMPLETE
25,0.04569094332437667,2024-12-01 00:15:15.599032,2024-12-01 00:31:18.829737,0 days 00:16:03.230705,t5-base,16,2.926161259082044e-11,0.00034523775296865854,AdamW,COMPLETE
26,0.04460812274307486,2024-12-01 00:31:18.830044,2024-12-01 00:47:21.979530,0 days 00:16:03.149486,t5-base,16,1.4743930369791106e-12,0.0002691108186553674,AdamW,COMPLETE
27,0.061644845745629735,2024-12-01 00:47:21.979890,2024-12-01 00:52:29.752740,0 days 00:05:07.772850,t5-small,16,6.593567337374717e-10,0.0009654612528836458,AdamW,COMPLETE
28,0.04479449381312681,2024-12-01 00:52:29.753054,2024-12-01 01:08:33.709066,0 days 00:16:03.956012,t5-base,16,1.9291724787328003e-11,6.237446430678034e-05,AdamW,COMPLETE
29,0.04311646393958538,2024-12-01 01:08:33.709364,2024-12-01 01:24:38.065500,0 days 00:16:04.356136,t5-base,16,1.4892658729905087e-12,0.0001978740843457525,AdamW,COMPLETE
30,0.04371917084790766,2024-12-01 01:24:38.065946,2024-12-01 01:38:12.626740,0 days 00:13:34.560794,t5-base,32,7.498633182547777e-13,0.00022340000863867307,AdamW,COMPLETE
31,0.043327479667606805,2024-12-01 01:38:12.627041,2024-12-01 01:54:14.404918,0 days 00:16:01.777877,t5-base,16,2.743443768285275e-10,0.00019170821275756692,AdamW,COMPLETE
32,0.04476690262792602,2024-12-01 01:54:14.405207,2024-12-01 02:10:16.983734,0 days 00:16:02.578527,t5-base,16,2.427811053175734e-10,0.00044037158784774856,AdamW,COMPLETE
33,0.07037649894990618,2024-12-01 02:10:16.984016,2024-12-01 02:25:16.661703,0 days 00:14:59.677687,t5-base,16,9.538663415655366e-08,0.0006897734384528493,SGD,COMPLETE
34,0.04434269436058544,2024-12-01 02:25:16.662008,2024-12-01 02:41:19.822282,0 days 00:16:03.160274,t5-base,16,2.1921999128460563e-15,0.0001894711632200217,AdamW,COMPLETE
35,0.28457536087149665,2024-12-01 02:41:19.822578,2024-12-01 02:46:09.447396,0 days 00:04:49.624818,t5-small,16,5.803499142506576e-11,6.162646654138191e-05,SGD,COMPLETE
36,0.05737199282480611,2024-12-01 02:46:09.447661,2024-12-01 03:02:14.031477,0 days 00:16:04.583816,t5-base,16,2.052695897673386e-14,2.850252606099081e-06,AdamW,COMPLETE
37,0.046154951972384305,2024-12-01 03:02:14.031757,2024-12-01 03:18:17.064537,0 days 00:16:03.032780,t5-base,16,3.2817763836738635e-08,0.0005492694724191372,AdamW,COMPLETE
